    Soil Type,Water Availability,Area Size,Season,Temperature,Rainfall,Crop Cycle,Crop Recommendation,Yield Prediction,Fertilizer Recommendation,Pesticide Recommendation
Silty,high,510,summer,22,low,long term,Maize,5.9,Nitrogen-rich fertilizer,Organic pesticide
Peaty,low,540,monsoon,26,medium,medium term,Rice,5,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,470,spring,28,high,short term,Barley,4.6,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,high,490,winter,21,medium,long term,Oats,5.5,Nitrogen-rich fertilizer,Organic pesticide
Sandy,low,520,monsoon,27,low,medium term,Potato,5.4,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,460,summer,24,high,short term,Maize,5.7,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,480,winter,23,medium,long term,Rice,5.2,Nitrogen-rich fertilizer,Organic pesticide
Loamy,low,440,spring,29,medium,medium term,Barley,4.7,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,510,monsoon,25,high,short term,Oats,5.6,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,high,580,summer,19,low,long term,Potato,5.1,Nitrogen-rich fertilizer,Organic pesticide
Silty,low,450,winter,30,medium,medium term,Maize,5.8,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,520,spring,27,high,short term,Rice,4.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,high,490,monsoon,22,low,long term,Barley,5.4,Nitrogen-rich fertilizer,Organic pesticide
Clay,low,460,summer,32,medium,medium term,Oats,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,medium,530,winter,20,high,short term,Potato,5.6,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,high,500,spring,26,low,long term,Maize,5.5,Nitrogen-rich fertilizer,Organic pesticide
Peaty,low,510,monsoon,24,medium,medium term,Rice,5.1,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,480,summer,29,high,short term,Barley,5.2,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,high,550,winter,21,medium,long term,Oats,5.7,Nitrogen-rich fertilizer,Organic pesticide
Sandy,low,490,monsoon,28,low,medium term,Potato,5.8,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,520,spring,23,high,short term,Maize,5.3,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,high,540,winter,25,medium,long term,Rice,5.6,Nitrogen-rich fertilizer,Organic pesticide
Loamy,low,460,summer,30,medium,medium term,Barley,4.8,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,480,monsoon,26,high,short term,Oats,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,low,450,spring,27,high,long term,Maize,5.2,Nitrogen-rich fertilizer,Organic pesticide
Sandy,high,520,winter,22,low,medium term,Potato,5.1,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,580,summer,31,medium,short term,Rice,5.5,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,480,monsoon,25,high,medium term,Barley,4.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,520,spring,28,low,long term,Oats,5.8,Nitrogen-rich fertilizer,Organic pesticide
Silty,medium,450,winter,24,medium,short term,Maize,5.4,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,480,monsoon,29,high,medium term,Potato,5.7,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,560,summer,26,low,long term,Rice,5.6,Nitrogen-rich fertilizer,Organic pesticide
Loamy,medium,460,spring,27,medium,medium term,Barley,5.3,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,low,500,winter,23,high,short term,Oats,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,490,monsoon,25,medium,long term,Maize,5.5,Nitrogen-rich fertilizer,Organic pesticide
Sandy,medium,540,summer,30,low,medium term,Potato,5.2,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,510,spring,26,high,short term,Rice,5.4,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,480,winter,22,medium,medium term,Barley,5.1,Nitrogen-rich fertilizer,Organic pesticide
Clay,medium,580,monsoon,29,low,long term,Oats,5.8,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,low,480,summer,28,medium,short term,Maize,5.6,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,high,490,spring,24,high,medium term,Potato,5.3,Nitrogen-rich fertilizer,Organic pesticide
Peaty,medium,520,winter,25,medium,long term,Rice,5.7,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,460,monsoon,26,low,medium term,Barley,5.5,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,500,summer,27,high,short term,Oats,5.9,Nitrogen-rich fertilizer,Organic pesticide
Silty,medium,470,spring,28,medium,long term,Maize,5.4,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,480,winter,23,low,medium term,Potato,5.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,550,monsoon,26,high,short term,Rice,5.8,Nitrogen-rich fertilizer,Organic pesticide
Loamy,medium,510,summer,29,medium,medium term,Barley,5.2,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,low,480,spring,25,low,long term,Oats,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,520,winter,24,medium,short term,Maize,5.5,Nitrogen-rich fertilizer,Organic pesticide
Sandy,medium,490,monsoon,28,high,medium term,Potato,5.7,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,580,summer,27,medium,long term,Rice,5.6,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,530,monsoon,26,low,medium term,Barley,5.8,Nitrogen-rich fertilizer,Organic pesticide
Loamy,high,440,winter,25,high,short term,Oats,6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,480,spring,29,medium,long term,Maize,5.1,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,450,summer,27,medium,medium term,Potato,5.4,Nitrogen-rich fertilizer,Organic pesticide
Peaty,high,540,monsoon,28,high,short term,Rice,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,460,winter,24,low,medium term,Barley,5.6,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,510,spring,26,medium,long term,Oats,5.8,Nitrogen-rich fertilizer,Organic pesticide
Silty,high,500,monsoon,29,high,medium term,Maize,5.2,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,low,520,summer,28,medium,short term,Potato,5.5,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,560,winter,27,low,medium term,Rice,5.7,Nitrogen-rich fertilizer,Organic pesticide
Loamy,high,480,monsoon,25,medium,long term,Barley,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,530,spring,24,low,short term,Oats,5.4,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,540,monsoon,28,high,medium term,Maize,5.3,Nitrogen-rich fertilizer,Organic pesticide
Sandy,high,550,summer,29,medium,long term,Potato,5.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,580,winter,26,medium,medium term,Rice,5.8,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,510,monsoon,27,high,short term,Barley,5.5,Nitrogen-rich fertilizer,Organic pesticide
Clay,high,560,spring,25,medium,long term,Oats,5.1,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,480,summer,28,low,medium term,Maize,5.7,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,520,monsoon,29,high,short term,Potato,5.9,Nitrogen-rich fertilizer,Organic pesticide
Peaty,high,590,winter,27,medium,medium term,Rice,5.2,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,540,spring,26,medium,long term,Barley,5.8,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,500,monsoon,28,high,medium term,Oats,5.6,Nitrogen-rich fertilizer,Organic pesticide
Silty,high,580,summer,29,medium,short term,Maize,5.4,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,low,530,winter,27,low,medium term,Potato,5.3,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,570,monsoon,28,high,medium term,Rice,5.9,Nitrogen-rich fertilizer,Organic pesticide
Loamy,high,510,summer,29,medium,long term,Barley,5.5,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,540,spring,25,low,short term,Oats,5.8,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,550,monsoon,29,high,medium term,Maize,5.6,Nitrogen-rich fertilizer,Organic pesticide
Sandy,medium,400,monsoon,30,low,short term,Potato,5.4,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,420,summer,31,medium,medium term,Rice,5.8,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,440,winter,29,high,long term,Barley,5.9,Nitrogen-rich fertilizer,Organic pesticide
Clay,medium,460,spring,28,low,short term,Oats,5.7,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,low,480,monsoon,30,medium,medium term,Maize,5.5,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,high,500,summer,31,high,long term,Potato,6,Nitrogen-rich fertilizer,Organic pesticide
Peaty,medium,520,winter,29,low,short term,Rice,5.6,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,540,monsoon,30,medium,medium term,Barley,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,560,spring,28,high,long term,Oats,5.8,Nitrogen-rich fertilizer,Organic pesticide
Silty,medium,580,summer,31,low,short term,Maize,5.7,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,600,winter,30,medium,medium term,Potato,5.5,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,620,monsoon,31,high,long term,Rice,6.1,Nitrogen-rich fertilizer,Organic pesticide
Loamy,medium,640,spring,29,low,short term,Barley,5.8,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,low,660,summer,30,medium,medium term,Oats,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,680,winter,31,high,long term,Maize,6,Nitrogen-rich fertilizer,Organic pesticide
Sandy,medium,700,monsoon,32,low,short term,Potato,5.6,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,720,summer,31,medium,medium term,Rice,5.7,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,740,winter,30,high,long term,Barley,6,Nitrogen-rich fertilizer,Organic pesticide
Clay,medium,760,spring,29,low,short term,Oats,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,low,780,monsoon,30,medium,medium term,Maize,5.8,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,high,800,summer,32,high,long term,Potato,6.1,Nitrogen-rich fertilizer,Organic pesticide
Peaty,medium,820,winter,31,low,short term,Rice,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,840,monsoon,30,medium,medium term,Barley,6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,860,spring,29,high,long term,Oats,6,Nitrogen-rich fertilizer,Organic pesticide
Silty,medium,880,summer,31,low,short term,Maize,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,900,winter,30,medium,medium term,Potato,5.8,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,920,monsoon,32,high,long term,Rice,6.1,Nitrogen-rich fertilizer,Organic pesticide
Loamy,medium,940,spring,29,low,short term,Barley,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,960,summer,31,high,medium term,Oats,6,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,980,winter,30,low,long term,Maize,6,Nitrogen-rich fertilizer,Organic pesticide
Sandy,high,1000,monsoon,32,medium,short term,Potato,5.7,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,1020,spring,29,high,medium term,Rice,6.2,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,1040,summer,30,low,long term,Barley,6,Nitrogen-rich fertilizer,Organic pesticide
Clay,high,1060,winter,31,medium,short term,Oats,5.8,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,1080,monsoon,32,high,medium term,Maize,6,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,low,1100,spring,30,low,long term,Potato,5.8,Nitrogen-rich fertilizer,Organic pesticide
Peaty,high,1120,summer,31,medium,short term,Rice,6.1,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,1140,winter,29,high,medium term,Barley,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,1160,monsoon,30,low,long term,Oats,6.1,Nitrogen-rich fertilizer,Organic pesticide
Silty,high,1180,spring,32,medium,short term,Maize,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,1200,summer,31,high,medium term,Potato,6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,1220,winter,30,low,long term,Rice,6.1,Nitrogen-rich fertilizer,Organic pesticide
Loamy,high,1240,monsoon,32,medium,short term,Barley,6,Potassium-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,1260,spring,29,high,medium term,Oats,6,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,1280,summer,30,low,long term,Maize,6,Nitrogen-rich fertilizer,Organic pesticide
Sandy,high,1300,winter,31,medium,short term,Potato,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,1320,monsoon,32,high,medium term,Rice,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,1340,spring,30,low,long term,Barley,6,Nitrogen-rich fertilizer,Organic pesticide
Clay,high,1360,summer,31,medium,short term,Oats,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,1380,winter,32,high,medium term,Maize,6,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,low,1400,monsoon,30,low,long term,Potato,5.8,Nitrogen-rich fertilizer,Organic pesticide
Peaty,high,1420,spring,31,medium,short term,Rice,6.1,Potassium-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,1440,summer,30,high,medium term,Barley,6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,1460,winter,29,low,long term,Oats,6,Nitrogen-rich fertilizer,Organic pesticide
Silty,high,1480,monsoon,32,medium,short term,Maize,5.9,Potassium-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,1500,spring,31,high,medium term,Potato,6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,1520,summer,33,low,medium term,Barley,6,Potassium-rich fertilizer,Organic pesticide
Peaty,low,1540,winter,32,high,short term,Rice,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,1560,monsoon,30,medium,long term,Oats,6,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,1580,spring,31,low,medium term,Maize,6,Potassium-rich fertilizer,Organic pesticide
Sandy,low,1600,summer,32,high,short term,Potato,5.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,1620,winter,33,medium,long term,Rice,6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,1640,monsoon,31,low,medium term,Barley,6,Potassium-rich fertilizer,Organic pesticide
Clay,low,1660,spring,32,high,short term,Oats,6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,1680,summer,33,medium,long term,Maize,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,high,1700,winter,31,low,medium term,Potato,6,Potassium-rich fertilizer,Organic pesticide
Peaty,low,1720,monsoon,32,high,short term,Rice,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,1740,spring,33,medium,long term,Barley,6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,1760,summer,31,low,medium term,Oats,6,Potassium-rich fertilizer,Organic pesticide
Silty,low,1780,winter,32,high,short term,Maize,5.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,1800,monsoon,33,medium,long term,Potato,6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,1820,spring,31,low,medium term,Rice,6,Potassium-rich fertilizer,Organic pesticide
Loamy,low,1840,summer,32,high,short term,Barley,6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,1860,winter,33,medium,long term,Oats,6,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,1880,monsoon,31,low,medium term,Maize,6,Potassium-rich fertilizer,Organic pesticide
Sandy,low,1900,spring,32,high,short term,Potato,5.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,1920,summer,33,medium,long term,Rice,6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,1940,winter,31,low,medium term,Barley,6,Potassium-rich fertilizer,Organic pesticide
Clay,low,1960,monsoon,32,high,short term,Oats,6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,1980,spring,33,medium,long term,Maize,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,high,2000,summer,31,low,medium term,Potato,6,Potassium-rich fertilizer,Organic pesticide
Peaty,low,2020,winter,32,high,short term,Rice,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,2040,monsoon,33,medium,long term,Barley,6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,2060,spring,31,low,medium term,Oats,6,Potassium-rich fertilizer,Organic pesticide
Silty,high,2080,summer,32,low,medium term,Maize,6.1,Potassium-rich fertilizer,Organic pesticide
Sandy,low,2100,winter,33,high,short term,Potato,5.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,2120,monsoon,31,medium,long term,Rice,6.2,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,2140,spring,32,low,medium term,Barley,6,Potassium-rich fertilizer,Organic pesticide
Clay,low,2160,summer,33,high,short term,Oats,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,2180,winter,31,medium,long term,Maize,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,high,2200,monsoon,32,low,medium term,Potato,6,Potassium-rich fertilizer,Organic pesticide
Peaty,low,2220,spring,33,high,short term,Rice,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,2240,winter,31,medium,long term,Barley,6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,2260,summer,32,low,medium term,Oats,6,Potassium-rich fertilizer,Organic pesticide
Silty,low,2280,monsoon,33,high,short term,Maize,6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,2300,spring,31,medium,long term,Potato,6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,2320,winter,32,low,medium term,Rice,6,Potassium-rich fertilizer,Organic pesticide
Loamy,low,2340,summer,33,high,short term,Barley,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,2360,monsoon,31,medium,long term,Oats,6,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,2380,spring,32,low,medium term,Maize,6,Potassium-rich fertilizer,Organic pesticide
Sandy,low,2400,winter,33,high,short term,Potato,6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,2420,monsoon,31,medium,long term,Rice,6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,2440,spring,32,low,medium term,Barley,6,Potassium-rich fertilizer,Organic pesticide
Clay,low,2460,summer,33,high,short term,Oats,6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,2480,winter,31,medium,long term,Maize,6,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,high,2500,monsoon,32,low,medium term,Potato,6,Potassium-rich fertilizer,Organic pesticide
Peaty,low,2520,spring,33,high,short term,Rice,6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,2540,winter,31,medium,long term,Barley,6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,2560,summer,32,low,medium term,Oats,6,Potassium-rich fertilizer,Organic pesticide
Silty,low,2580,monsoon,33,high,short term,Maize,6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,2600,spring,31,medium,long term,Potato,6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,2620,winter,32,low,medium term,Rice,6,Potassium-rich fertilizer,Organic pesticide
Clay,medium,2720,summer,34,low,medium term,Oats,5.9,Potassium-rich fertilizer,Organic pesticide
Sandy,low,2740,monsoon,33,high,short term,Maize,5.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,high,2760,spring,32,medium,long term,Barley,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,2780,winter,31,low,medium term,Rice,5.9,Potassium-rich fertilizer,Organic pesticide
Silty,high,2800,summer,33,high,short term,Oats,5.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,2820,monsoon,32,medium,long term,Maize,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,medium,2840,spring,31,low,medium term,Potato,5.9,Potassium-rich fertilizer,Organic pesticide
Loamy,high,2860,winter,33,high,short term,Rice,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,2880,summer,32,medium,long term,Barley,5.9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,2900,monsoon,33,low,medium term,Oats,6.1,Potassium-rich fertilizer,Organic pesticide
Clay,high,2920,spring,31,high,short term,Maize,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,2940,winter,32,medium,long term,Potato,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,2960,summer,33,low,medium term,Rice,6.1,Potassium-rich fertilizer,Organic pesticide
Peaty,high,2980,monsoon,31,high,short term,Barley,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,3000,spring,32,medium,long term,Oats,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,medium,3020,winter,33,low,medium term,Maize,6.1,Potassium-rich fertilizer,Organic pesticide
Sandy,high,3040,summer,31,high,short term,Potato,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,3060,monsoon,32,medium,long term,Rice,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,medium,3080,spring,33,low,medium term,Barley,6.1,Potassium-rich fertilizer,Organic pesticide
Silty,high,3100,winter,31,high,short term,Oats,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,3120,summer,32,medium,long term,Maize,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,medium,3140,monsoon,33,low,medium term,Potato,6.1,Potassium-rich fertilizer,Organic pesticide
Loamy,high,3160,spring,31,high,short term,Rice,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,3180,winter,32,medium,long term,Barley,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,3200,summer,33,low,medium term,Oats,6.1,Potassium-rich fertilizer,Organic pesticide
Clay,high,3220,monsoon,31,high,short term,Maize,6.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,3240,spring,32,medium,long term,Potato,6.1,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,3260,winter,33,low,medium term,Rice,6.1,Potassium-rich fertilizer,Organic pesticide
Silty,high,5000,spring,29,high,medium term,Sorghum,7.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,medium,5020,monsoon,30,low,short term,Millet,7.5,Potassium-rich fertilizer,Organic pesticide
Loamy,low,5040,winter,31,medium,long term,Wheat,7.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,5060,spring,29,high,medium term,Barley,7.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,medium,5080,monsoon,30,low,short term,Oats,7.8,Potassium-rich fertilizer,Organic pesticide
Clay,low,5100,winter,31,medium,long term,Maize,7.9,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,5120,spring,29,high,medium term,Rice,8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,5140,monsoon,30,low,short term,Sorghum,8.1,Potassium-rich fertilizer,Organic pesticide
